symbol_id,time_exchange,time_coinapi,ask_price,ask_size,bid_price,bid_size
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T00:00:37.5300060Z,2018-11-01T00:01:05.0226287Z,0.011,5.1,0.0095,6.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T01:17:12.9415946Z,2018-11-01T01:17:40.6682231Z,0.0115,10.3,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T02:35:54.2373280Z,2018-11-01T02:36:22.0287394Z,0.0115,10.3,0.01,5.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T03:17:50.1902428Z,2018-11-01T03:18:17.3529346Z,0.0115,5.1,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T04:10:47.6351330Z,2018-11-01T04:11:14.0556297Z,0.0115,5.1,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T05:31:10.7689713Z,2018-11-01T05:31:35.7065457Z,0.011,5.1,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T06:09:17.8247320Z,2018-11-01T06:09:18.2773550Z,0.011,5.1,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T07:03:02.1982794Z,2018-11-01T07:03:02.2617190Z,0.011,5.1,0.0095,6.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T08:58:18.0289248Z,2018-11-01T08:58:50.1043086Z,0.011,5.1,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T09:10:20.2499030Z,2018-11-01T09:10:51.6379937Z,0.011,5.1,0.0095,2.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T10:22:14.3174629Z,2018-11-01T10:22:47.9472153Z,0.012,5.9,0.0095,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T11:00:05.7903697Z,2018-11-01T11:00:36.5795901Z,0.012,8.9,0.0095,2.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T12:23:47.3067192Z,2018-11-01T12:24:18.3497619Z,0.012,5.9,0.0095,2.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T13:04:38.7599474Z,2018-11-01T13:05:11.6874927Z,0.0115,5.2,0.0095,2.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T14:00:20.8008242Z,2018-11-01T14:00:20.8554566Z,0.011,1.0,0.0095,2.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T15:14:29.6096140Z,2018-11-01T15:15:01.8619905Z,0.0105,1.0,0.0095,2.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T16:14:02.2812624Z,2018-11-01T16:14:32.4137880Z,0.0105,1.0,0.0095,2.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T17:00:43.1155873Z,2018-11-01T17:00:44.1239168Z,0.0115,5.2,0.0095,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T19:17:41.0898856Z,2018-11-01T19:17:41.4552546Z,0.0115,8.2,0.0095,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T20:05:26.1127880Z,2018-11-01T20:05:57.1040827Z,0.01,5.0,0.0095,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T21:54:01.5106942Z,2018-11-01T21:54:31.6531661Z,0.0075,5.0,0.007,6.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-01T22:00:48.8584831Z,2018-11-01T22:01:13.6158215Z,0.0075,5.0,0.007,6.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T00:01:16.6161383Z,2018-11-02T00:01:48.2703838Z,0.0075,5.0,0.007,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T01:40:13.4317773Z,2018-11-02T01:40:13.5448350Z,0.007,1.0,0.0065,5.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T03:15:42.5310184Z,2018-11-02T03:15:43.7923588Z,0.0095,5.0,0.006,7.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T04:51:29.2078138Z,2018-11-02T04:51:29.8630216Z,0.0075,5.0,0.006,3.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T05:17:21.0824385Z,2018-11-02T05:17:23.1708760Z,0.0075,5.0,0.006,7.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T06:29:53.0209189Z,2018-11-02T06:29:55.0426323Z,0.0095,5.0,0.006,7.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T07:20:47.7173611Z,2018-11-02T07:20:48.1353451Z,0.0095,8.3,0.0065,9.6
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T08:00:22.0499599Z,2018-11-02T08:00:22.1054545Z,0.0095,2.0,0.0065,4.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T09:06:59.9415124Z,2018-11-02T09:06:59.9960831Z,0.009,1.0,0.0065,10.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T10:43:24.1499703Z,2018-11-02T10:43:52.1433126Z,0.0085,5.2,0.0065,9.2
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T11:02:34.8271814Z,2018-11-02T11:02:34.8867122Z,0.0075,5.3,0.0065,9.2
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T12:26:28.3654974Z,2018-11-02T12:26:28.4335882Z,0.0075,4.3,0.0065,9.2
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T13:07:52.6504115Z,2018-11-02T13:08:22.2934358Z,0.0075,9.3,0.0065,6.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T14:32:04.0959611Z,2018-11-02T14:32:30.7221877Z,0.007,4.3,0.006,9.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-11-02T15:21:13.9182616Z,2018-11-02T15:21:42.4023824Z,0.0075,5.3,0.006,6.0
