symbol_id,time_exchange,time_coinapi,ask_price,ask_size,bid_price,bid_size
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-01T00:11:17.7983418Z,2018-12-01T00:11:23.4739401Z,0.4,0.1,0.2925,3.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-02T00:00:04.0489653Z,2018-12-02T00:00:10.6696002Z,0.258,2.0,0.2465,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-03T00:00:55.8809100Z,2018-12-03T00:00:56.6017895Z,0.266,2.5,0.2505,2.5
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-04T00:00:25.1116707Z,2018-12-04T00:00:25.4902148Z,0.344,0.8,0.336,1.8
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-05T00:00:03.4378420Z,2018-12-05T00:00:04.1285705Z,0.3185,0.8,0.3105,0.8
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-06T00:00:16.1522667Z,2018-12-06T00:00:16.3804776Z,0.384,1.0,0.3735,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-07T00:00:00.4430831Z,2018-12-07T00:00:45.9371494Z,0.494,0.6,0.4845,0.6
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-08T00:03:10.8645573Z,2018-12-08T00:04:11.1648630Z,0.6995,0.2,0.001,0.2
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-09T01:08:01.0552082Z,2018-12-09T01:08:01.7063961Z,0.7,0.1,0.01,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-10T00:00:36.9141796Z,2018-12-10T00:00:37.3433692Z,0.4385,1.0,0.4275,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-11T00:00:19.7722360Z,2018-12-11T00:00:20.1216569Z,0.488,1.1,0.479,1.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-12T00:00:12.4778405Z,2018-12-12T00:00:13.1010889Z,0.514,1.0,0.505,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-13T00:00:12.4557626Z,2018-12-13T00:00:15.1907339Z,0.474,1.5,0.4655,1.5
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-14T00:00:30.4034303Z,2018-12-14T00:00:31.3731419Z,0.5515,1.0,0.543,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-15T00:00:58.5576886Z,2018-12-15T00:00:59.9143670Z,0.6095,0.1,0.5735,0.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-16T00:00:10.2650556Z,2018-12-16T00:00:11.2815443Z,0.5875,1.5,0.577,1.5
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-17T00:00:09.7149027Z,2018-12-17T00:00:14.0236218Z,0.577,1.0,0.568,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-18T00:00:04.9696759Z,2018-12-18T00:00:48.6784883Z,0.4395,1.0,0.4305,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-19T00:00:33.3815368Z,2018-12-19T00:00:34.5274567Z,0.3725,1.0,0.3635,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-20T00:00:06.6068950Z,2018-12-20T00:00:07.1269421Z,0.376,1.0,0.3675,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-21T00:00:47.6069388Z,2018-12-21T00:00:53.4589892Z,0.2495,1.0,0.241,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-22T00:00:13.9412365Z,2018-12-22T00:00:14.0709940Z,0.3125,2.0,0.218,0.2
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-23T00:01:37.7364808Z,2018-12-23T00:01:37.9881462Z,0.2665,2.1,0.218,0.3
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-24T00:01:13.8379689Z,2018-12-24T00:01:56.5435079Z,0.273,2.0,0.2175,0.1
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-25T00:00:22.4464147Z,2018-12-25T00:00:46.7876974Z,0.247,1.0,0.2385,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-26T00:00:27.5906421Z,2018-12-26T00:01:16.4051306Z,0.3325,1.0,0.324,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-27T00:00:13.1668701Z,2018-12-27T00:00:50.8544765Z,0.319,1.0,0.3105,1.0
DERIBIT_OPT_BTC_USD_181228_5000_P,2018-12-28T00:00:01.9904146Z,2018-12-28T00:00:43.4838135Z,0.397,1.0,0.3885,1.0
